code,印度尼西亚 Indonesian
invitation_point_text_06,Jumlah pembelian pemain kurang dari 1000
nn_p1_equal,Player 1 Setara
nn_p2_equal,Player 2 Setara
nn_p3_equal,Player 3 Setara
nn_p1_double,Player 1 Lipat Ganda
nn_p2_double,Player 2 Lipat Ganda
nn_p3_double,Player 3 Lipat Ganda
nn_double_remind,Taruhan% s pemotongan awal% s
g_withholding,Pemotongan awal
Bet_area,Area Taruhan
nn_p1,PEMAIN 1
nn_p2,PEMAIN 2
nn_p3,PEMAIN 3
roulette_Description,Roulette Cina
roulette_Description1,"Dalam permainan roulette unik ini, dapat mencoba berbagai metode penyebaran taruhan yang akan memberikan kesenangan lebih dalam permainan Roullete Cina adalah pilihan terbaik bagi Anda bagi pemain yang ingin meningkatkan peluang mereka untuk memenangkan opsi taruhan dalam tunggal."
roulette_Description2,"Pemain dapat memasang taruhan 
pada pinggiran dari 36 angka 
dan kotak yang ada, 
atau mereka dapat mengklik 
“pilih semua” pada kotak merah
atau kotak hitam untuk 
memasang taruhan, 
serta besar kecil atau 
genap ganjil, 
menawarkan banyak opsi taruhan. Masing-masing dari 12 ikon 
Zodiac memiliki 3 slot angka, 
dan posisi nol hanya 
memiliki satu slot. Metode taruhan dibagi menjadi 
beberapa opsi, sesuai dengan 
hubungan antara 
zodiak dan angka atau 
hubungan empat baris dan angka. Karena itu, Anda dapat 
memasang taruhan pada zodiak
dan juga bertaruh pada ""emas"" 
(termasuk ikon yang mewakili 
sapi, harimau, dan kelinci) atau 
""kayu"" (termasuk ikon 
yang mewakili domba, monyet,
dan ayam).
Selain itu, sisi kiri dan kanan dari
Roullete Cina masing-masing 
akan menampilkan 
angka populer dan 
angka tidak populer, 
sehingga pemain juga dapat 
mengklik angka populer 
dan tidak populer untuk 
memasang taruhan."
bullbull_teaching,"Game kartu Bull Bull dapat dimainkan oleh banyak orang secara bersamaan, dengan menggunakan 52 lembar kartu poker (tidak termasuk dua lembar kartu joker), urutan pembagian kartu setiap ronde dihasilkan secara acak, dan urutan kartu ditentukan oleh nilai nominal kartu pertama. Dan 5 lembar kartu akan dibagiakn secara merata kepada para pemain. Setelah pemain mendapatkan kartu, maka akan di atur grup sesuai dengan aturan permainan yang telah ditentukan. Banker dan Player akan sesuai dengan urutan membandingkan besar kecil untuk menentukan pemenang dari permainan."
bullbull_teaching1,"Para tamu memilih player No. 1, No. 2, atau No. 3 untuk memasang taruhan, tamu dapat bertaruh dengan nilai setara atau dua kali lipat dari taruhan player. Ketika memasang taruhan lipat ganda, tamu harus memiliki uang yang cukup untuk memasang taruhan."
bullbull_teaching2,"Ketika memasang taruhan dengan nilai setara, perbandingan pembayaran adalah 1: 0,97.
 Jika jumlah poinnya sama, maka akan dipilih 1 kartu dengan nilai tertinggi diantara 5 kartu yang ada, dan pihak dengan nilai kartu tertinggi akan menang. Jika jumlah poin dan nilai kartu sama, maka akan dipilih lambang kartu paling besar."
bullbull_Description3,"Dalam kasus jenis kategori tangan tingkat pembayaran adalah 1: 0,95.Ketika Tamu dan Banker mendapat Bull 7, Bull 8, Bull 9, tingkat pembayaran adalah 1: 2 * 0,95Ketika Tamu dan Banker mendapat Bull Bull, Flush_Bull, Bom,tingkat pembayaran adalah 1:3*0.95"
bullbull_Description4,"Bull Bull adalah game kartu yang sederhana namun sangat menarik, game yang sangat cepat, menegangkan dan penuh tantangan."
bullbull_Description5,"Kartu permainan: Game Bull Bull menggunakan kartu poker set lengkap, dikurangi sepasang joker, total 52 lembar."
bullbull_Description6,"Kursi permainan: Ada 3 player dalam permainan dan 1 orang banker, klik sebagai tamu hanya dapat memasang taruhan pada salah satu dari 3 player yang ada."
bullbull_Description7,Aturan perbandingan kartu:
bullbull_Description8,"Kartu Poker dengan nilai 2—9 
 dihitung sesuai dengan nilai kartu
  A bernilai 1 poin, 
 10, J, Q, dan K bernilai 10 poin.
 Urutan besar kecil dari 
 lambang kartu adalah: 
 sekop, hati, keriting, wajik. 
 Urutan kartu dari 
 besar ke kecil adalah: 
 K, Q, J, 10, 9, 8, 7, 6, 5, 4, 3, 2, A.
 Urutan kartu dari 
 besar ke kecil adalah: 
 Bom, Flush_Bull, Bull Bull, 
 Bull 9, Bull 8, Bull 7, Bull 6, 
 Bull 5, Bull 4, Bull 3, 
 Bull 2, Bull 1, Bull 0
 Dalam hal 
 jenis kategori tangan sama
 kartu dengan nilai nominal terbesar 
 dari lima kartu 
 dibandingkan dengan 
 lambang kartu dan nilai nominal."
bullbull_Description9,Penjelasan Kategori Tangan:
bullbull_Description10,Niu Flush berarti kelima kartu terdiri dari jenis kartu dengan nilai 10 keatas (tidak termasuk 10).
bullbull_Description11,Aturan taruhan:
bullbull_Description12,"Catatan: Ketika player memasang taruhan di ""lipat ganda"", saldo yang tersedia oleh player harus lebih tinggi dari atau sama dengan 5 kali jumlah taruhan; Apabila memasang taruhan di “setara” maka tidak ada batasan seperti ini."
bullbull_Description13,"Meja dengan batasan merah (Meja Merah):Batasan Merah adalah membatasi player untuk memasang jumlah taruhan,contohnya Batasan Merah 1000, maka 3 player hanya bisa memasang 1000 pada “setara” ataupun “lipat ganda”."
bullbull_Description14,"Penarikan komisi Banker: Player memperoleh Bull 7, Bull 8, Bull 9, Bull Bull menang dari Banker, maka banker akan menarik komisi 5%."
bullbull_Description15,Perbandingan pembayaran:
bullbull_Description16,"Para tamu dapat bertaruh “lipat ganda” dan “setara” pada masing-masing player;
Ketika tamu bertaruh setara, tidak peduli kartu apa yang dibuka tingkat pembayaran adalah
1: 0.97. 
Ketika tamu memasang taruhan lipat ganda, tamu dan banker tidak memiliki lebih dari Bull 6, tingkat pembayaran adalah 1: 0.97. 
Ketika tamu memasang taruhan lipat ganda, tamu dan banker mendapat Bull 7, Bull 8, Bull 9, tingkat pembayaran adalah 1:2*0.97.
Ketika tamu memasang taruhan lipat ganda, tamu dan banker mendapat Bull Bull,tingkat pembayaran adalah 1:3*0.97.
Ketika tamu memasang taruhan lipat ganda, tamu dan banker mendapat Flush Bull,tingkat pembayaran adalah 1:4.75."
bullbull_Description17,Jenis Kategori Tangan:
bullbull_Description18,Flush_Bull > Bull Bull> Bull 9 > Bull 8 > Bull 7 > Bull 6 > Bull 5 > Bull 4 > Bull 3 > Bull 2 > Bull 1 > Bull 0
bullbull_Description19,Bom
bullbull_Description20,"Flush Bull (5 Lembar J, Q, K)"
bullbull_Description21,Bull 9
bullbull_Description22,Bull 8
bullbull_Description23,Bull 7
bullbull_Description24,Bull 6
bullbull_Description25,Bull 5
bullbull_Description26,Bull 4
bullbull_Description27,Bull 3
bullbull_Description28,Bull 2
bullbull_Description29,Bull 1
bullbull_Description30,Bull 0
bullbull_Description31,"Empat kartu, nilai nominal yang sama, lambang kartu berbeda"
bullbull_Description32,Kartu yang terdiri dari 5 lembar JQK
bullbull_Description33,"3 lembar dengan kombinasi kelipatan 10, 2 lembar sisanya ditambahkan bernilai 10 atau 20"
bullbull_Description34,"3 lembar dengan kombinasi kelipatan 10, 2 lembar sisanya ditambahkan bernilai 9 atau 19"
bullbull_Description35,"3 lembar dengan kombinasi kelipatan 10, 2 lembar sisanya ditambahkan bernilai 8 atau 18"
bullbull_Description36,"3 lembar dengan kombinasi kelipatan 10, 2 lembar sisanya ditambahkan bernilai 7 atau 17"
bullbull_Description37,"3 lembar dengan kombinasi kelipatan 10, 2 lembar sisanya ditambahkan bernilai 6 atau 16"
bullbull_Description38,"3 lembar dengan kombinasi kelipatan 10, 2 lembar sisanya ditambahkan bernilai 5 atau 15"
bullbull_Description39,"3 lembar dengan kombinasi kelipatan 10, 2 lembar sisanya ditambahkan bernilai 4 atau 14"
bullbull_Description40,"3 lembar dengan kombinasi kelipatan 10, 2 lembar sisanya ditambahkan bernilai 3 atau 13"
bullbull_Description41,"3 lembar dengan kombinasi kelipatan 10, 2 lembar sisanya ditambahkan bernilai 2 atau 12"
bullbull_Description42,"3 lembar dengan kombinasi kelipatan 10, 2 lembar sisanya ditambahkan bernilai 1 atau 11"
bullbull_Description43,"Dalam 5 kartu yang ada, tidak ada tiga kartu yang ditambahkan merupakan kelipatan bilangan bulat dari 10. Contoh: 4, 10, 9, 4, 8"
friend_teaching,"Biarkan diri Anda menjadi agen online, dapatkan lebih banyak manfaat melalui teman Anda, dan biarkan teman Anda mengundang lebih banyak teman untuk mendapatkan lebih banyak."
friend_teaching1,"Dengan cara membeli poin game, dan membagi poin game Anda kepada teman, baru dapat memulai permainan!"
friend_teaching2,"Dengan cara membeli jumlah ronde game, kemudian membagi ronde game dan poin Anda yang terkumpul kepada teman, baru dapat memulai permainan!"
friend_teaching3,"Pilih cara yang Anda inginkan untuk pelunasan pembayaran dengan teman Anda.
 Pengingat: Pastikan untuk memilih mode laporan sebelum Anda membeli poin!"
friend_teaching4,"Pilih cara yang Anda inginkan untuk pelunasan pembayaran dengan teman Anda.
 Pengingat: Pastikan untuk memilih mode laporan sebelum Anda membeli Ronde!"
friend_teaching5,"Mode kredit tidak termasuk modal. Kedepannya, ketika pemain dan teman melakukan pembayaran, modal yang diberikan di awal akan dikurangi."
friend_teaching6,"Mode Cash termasuk modal. Kedepannya, ketika pemain dan teman melakukan pembayaran, modal yang diberikan di awal telah termasuk didalamnya."
friend_teaching7,Anda dapat mengasumsikan jumlah pembayaran dari semua teman yang diundang setelah Anda mengevaluasi situasi Anda sendiri.
friend_teaching8,"Mode Cash termasuk modal. Kedepannya, ketika pemain dan teman melakukan pembayaran, modal yang diberikan di awal telah termasuk didalamnya."
friend_teaching9,"Mode kredit tidak termasuk modal. Kedepannya, ketika pemain dan teman melakukan pembayaran, modal yang diberikan di awal akan dikurangi."
friend_teaching10,"Jumlah uang dalam akun Anda saat ini membeli poin.
 Pengingat: Anda harus membeli poin terlebih dahulu baru dapat mengundang teman!"
friend_teaching11,"Jumlah uang dalam akun Anda saat ini membeli Ronde.
 Pengingat: Anda harus membeli Ronde terlebih dahulu baru dapat mengundang teman!"
friend_teaching12,Beli poin dengan menggunakan seluruh uang dalam akun Anda.
friend_teaching13,Beli Ronde dengan menggunakan seluruh uang dalam akun Anda.
friend_teaching14,Undang teman Anda agar dia mendapat penghasilan lebih untuk Anda!
friend_teaching15,"Anda dapat membuat undangan untuk teman Anda satu per satu, dan Anda dapat memilih apakah Anda ingin teman Anda mengundang teman lagi ketika Anda mengundang mereka secara individual!"
friend_teaching16,Anda dapat mengundang teman dalam jumlah besar (hingga 10 grup sekaligus)!
friend_teaching17,"Anda dapat menyalin link, dan memberikannya kepada teman Anda."
friend_teaching18,"Anda dapat menyalin kode aktivasi, dan memberikannya kepada teman VIP Anda."
friend_teaching19,Anda dapat menyalin link secara individual dan memberikannya ke teman Anda.
friend_teaching20,Anda dapat menyalin semua link sekaligus dan menempelkannya di buku catatan atau memberikannya kepada teman didalam grup Anda.
friend_teaching21,Dari sini Anda dapat melihat informasi dari daftar teman Anda.
friend_teaching22,"Dalam bentuk laporan, Anda dapat melihat informasi tentang teman-teman Anda."
friend_teaching23,Anda dapat menggunakan tombol ini untuk menambah teman Anda.
friend_teaching24,Anda dapat melihat informasi riwayat pembayaran teman ini melalui tombol ini.
friend_teaching25,Anda dapat melihat komentar Anda tentang teman ini melalui tombol ini.
friend_teaching26,Anda dapat melihat undangan Anda ke semua teman Anda melalui manajemen undangan.
friend_teaching27,Anda dapat menggunakan tombol ini untuk menarik kembali undangan ini.
friend_teaching28,"Jika Anda ingin melakukan pembayaran dengan teman-teman Anda atau melihat informasi teman-teman Anda, Anda dapat mengklik informasi online."
friend_teaching29,"Jika Anda ingin melakukan pembayaran dengan teman-teman Anda, Anda dapat mengklik tombol ini."
bullbull_Description44,Urutan Pembagian Kartu
bullbull_Description45,"Angka pada kartu pertama yang dibagikan dalam setiap ronde menentukan urutan pembagian kartu pertama, misalnya kartu pertama adalah 3, maka kartu dibagikan terlebih dahulu kepada player nomor 3, kemudian banker, player nomor 1, player nomor 2; dan membagikan 1 kartu pada setiap putaran, dan akan berakhir setelah 5 kartu dibagikan."
baccarat_nocommission_english,"Banker win on 6, 1 : 0.5"
g_withholding_refund,Pemotongan pengembalian
restart_browser,Re-load browser
baccarat_customerBet_over_thirty_cant_bet_1,"Perhatian: Apabila setiap card shoe telah memasuki ronde 31 atau lebih, maka player tidak dapat bertaruh Banker Dragon Bonus, Player Dragon Bonus, besar, kecil dan Banker Ganjil, Banker Genap, Player Ganjil, Player Genap."
bullbull_Description46,"Penarikan komisi Banker: Bila player memperoleh Bull 7, Bull 8, Bull 9, Bull_Bull berlipat ganda menang dari Banker, maka banker akan menarik komisi 5%."
bullbull_Description47,"Kartu remi dengan nilai 2-9 dihitung sesuai dengan nilai kartu, A bernilai 1 poin, 10, J, Q, dan K bernilai 10 poin.
 Urutan besar kecil dari lambang kartu adalah: sekop, hati, keriting, wajik. 
 Urutan kartu dari besar ke kecil adalah: K, Q, J, 10, 9, 8, 7, 6, 5, 4, 3, 2, A.
 Urutan jenis kartu dari besar ke kecil adalah: Flush_Bull, Bull_Bull, Bull 9, Bull 8, Bull 7, Bull 6, Bull 5, Bull 4, Bull 3, Bull 2, Bull 1, Bull 0.
 Dalam hal jenis kategori tangan sama, ambil kartu dengan nilai nominal terbesar dari lima kartu kemudian bandingkan lambang kartu dan nilai nominal, bandingkan besar kecil pada kartu yang paling besar (K adalah kartu paling besar, A adalah kartu paling kecil); bila nilai nominal kartu yang paling besar adalah sama, maka bandingkan lambang kartu (sekop > hati > keriting > wajik)"
g_failed_refund,"Pemasangan taruhan gagal, pengembalian uang"
bullbull_insufficient,Saldo Pemain tidak cukup
g_game_guide_custom_title1,(Tidak berlaku untuk game meja)
bullbull_comingsoon,Coming soon
total_payout,"Total pembayaran
(termasuk pemotongan)"
bullbull_Description10_1,Bom berarti bahwa empat kartu memiliki nilai nominal yang sama tetapi lambang di kartu berbeda; Flush Bull berarti bahwa kelima kartu memiliki nilai lebih dari 10 ke atas.
bullbull_Description16_1,"Para tamu dapat bertaruh “lipat ganda” dan “setara” pada masing-masing player;
Ketika tamu bertaruh setara, tidak peduli kartu apa yang dibuka tingkat pembayaran adalah 1: 0,97. 
Ketika tamu memasang taruhan lipat ganda, tamu dan banker tidak memiliki lebih dari Bull 6, tingkat pembayaran adalah 1: 0,97. 
Ketika tamu memasang taruhan lipat ganda, tamu dan banker mendapat Bull 7, Bull 8, Bull 9, tingkat pembayaran adalah 1:2*0.97.
Ketika tamu memasang taruhan lipat ganda, tamu dan banker mendapat Bull Bull, Flush Bull, Bom, tingkat pembayaran adalah 1:3*0.97."
bullbull_Description18_1,Bom > Flush_Bull > Bull Bull> Bull 9 > Bull 8 > Bull 7 > Bull 6 > Bull 5 > Bull 4 > Bull 3 > Bull 2 > Bull 1 > Bull 0
bullbull_Description47_1,"Kartu remi dengan nilai 2-9 dihitung sesuai dengan nilai kartu, A bernilai 1 poin, 10, J, Q, dan K bernilai 10 poin.
 Urutan besar kecil dari lambang kartu adalah: sekop, hati, keriting, wajik. 
 Urutan kartu dari besar ke kecil adalah: K, Q, J, 10, 9, 8, 7, 6, 5, 4, 3, 2, A.
 Urutan jenis kartu dari besar ke kecil adalah: Bom, Flush_Bull, Bull_Bull, Bull 9, Bull 8, Bull 7, Bull 6, Bull 5, Bull 4, Bull 3, Bull 2, Bull 1, Bull 0.
 Dalam hal jenis kategori tangan sama, ambil kartu dengan nilai nominal terbesar dari lima kartu kemudian bandingkan lambang kartu dan nilai nominal, bandingkan besar kecil pada kartu yang paling besar (K adalah kartu paling besar, A adalah kartu paling kecil); bila nilai nominal kartu yang paling besar adalah sama, maka bandingkan lambang kartu (sekop > hati > keriting > wajik); bom berarti menang dengan nilai nominal empat kartu bom yang paling besar."
bullbull_Description12_1,"Catatan: Ketika taruhan ditempatkan dalam ""lipat ganda"", saldo yang tersedia tamu harus lebih besar atau sama dengan tiga kali jumlah taruhan, apabila memasang taruhan di “setara” maka tidak ada batasan tersebut."
Insufficient_balance,"Saldo pemotongan tidak mencukupi, kegagalan memasang taruhan"
g_warning_account_inactivated_1,Akun belum diaktifkan
Insufficient_balance_1,"Saldo tidak mencukupi, bet gagal"
Input_Verificationcode,Silakan masukkan kode verifikasi di bawah ini
Verificationcode_error,Kode verifikasi salah
Version_Switch,Klasik mewah
Version_Switch1,Tren fashion
BullBull_new,Jenis kartu umum
BullBull_new1,Peluang pembayaran
BullBull_new2,3 player memiliki peluang pembayaran yang sama
BullBull_new3,peluang pembayaran kemenangan player
BullBull_new4,peluang pembayaran kekalahan player
BullBull_new5,Jenis kartu Player
BullBull_new6,Jenis kartu Banker
BullBull_new7,Tingkat Pembayaran Lipat Ganda
BullBull_new8,Tingkat Pembayaran Setara
g_game_guide_custom_title_first,Peraturan Kustomisasi Taruhan
bullbull_Description48,Flush Bull
bullbull_Description49,bull 9-bull 7
copy_first,Telah disalin ke clipboard
BullBull_bettingtimelimit,Waktu taruhan game Bull Bull
BullBull_bettingtimelimit_1,"Ruang game Bull Bull memberikan 25 detik waktu taruhan. Setelah 25 detik, player tidak boleh memasang taruhan lagi."
SicBo_bettingtimelimit,Waktu taruhan game Sic Bo
SicBo_bettingtimelimit1,"Ruang game Sic Bo memberikan 30 detik waktu taruhan. Setelah 30 detik, player tidak boleh memasang taruhan lagi."
Roulette_bettingtimelimit,Waktu taruhan game Roulette
Roulette_bettingtimelimit1,"Ruang game Roulette memberikan 20 detik waktu taruhan. Setelah 20 detik, player tidak boleh memasang taruhan lagi."
DragonTiger_bettingtimelimit,Waktu taruhan game Dragon & Tiger
DragonTiger_bettingtimelimit1,"Ruang game Dragon & Tiger memberikan 25 detik waktu taruhan. Setelah 25 detik, player tidak boleh memasang taruhan lagi."
Baccarat_bettingtimelimit,Waktu taruhan game Baccarat
Baccarat_bettingtimelimit1,"Ruang Bid Baccarat memberikan 30 detik waktu taruhan, di mana player juga dapat mengklik dan menambah waktu 10 detik di ruangan sesuai kebutuhan."
Baccarat_bettingtimelimit2,"Catatan: Dalam setiap ronde, hanya memperbolehkan 1 player untuk mengklik waktu tambahan. Jika tidak ada player yang mengklik tambahan waktu, maka player tidak boleh memasang taruhan lagi setelah 30 detik."
Baccarat_bettingtimelimit3,"Kamar Baccarat Reguler memberikan 25 detik waktu taruhan. Setelah 25 detik, player tidak boleh memasang taruhan lagi."
Baccarat_bettingtimelimit4,"Kamar Speed Baccarat memberikan 15 detik waktu taruhan. Setelah 15 detik, player tidak boleh memasang taruhan lagi."
Shuffle_decks,Kocok
Shuffle_decks_Baccarat,ｘ
Cut_a_deck,Potong kartu
Cut_a_deck1,"Ketika dealer membuka deck baru dari kotak kartu cadangan, manajer di tempat akan secara acak menempatkan ""kartu biru"" ke dalam deck.
 Ketika dealer menarik kartu biru, akan ada pemberitahuan kepada player bahwa kartu yang dibagikan setelah kartu biru akan menjadi game terakhir dari deck. Setelah game selesai, kartu akan dikocok setelah mengklik kocok."
Burn_a_card,Burn
Burn_a_card_1,"Setelah pemotongan kartu dari deck baru selesai, dealer akan membuka kartu pertama dari deck dan jumlah kartu yang dibagikan sesuai dengan jumlah poin kartu.
 (A, 2, 3, 4, 5, 6, 7, 8, 9, 10 mewakili 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 lembar kartu, J, Q, dan K juga akan dibagikan kedalam 10 kartu)"
How_to_play,Cara Bermain
How_to_play_1,"Setelah memulai game, player dapat menempatkan taruhan di dealer, player, seri atau area taruhan sisi lainnya. Diawal game, dealer dan player masing-masing akan mendapatkan dua kartu."
Interactive_Baccarat,Bid Baccarat
Interactive_Baccarat1,"Di kamar Bid Baccarat, dealer dan player yang memasang taruhan dengan nilai tertinggi akan menjadi bid master. Setelah dealer membagikan kartu, player yang login dengan perangkat komputer dapat menggunakan mouse mengklik dan menarik sudut kartu untuk melakukan operasi bid, player yang login dengan perangkat lain dapat mengklik dan menarik kartu dengan menggunakan jari tangan."
Interactive_Baccarat2,"Catatan: dalam setiap game, dealer dan player masing-masing hanya akan ada 1 bid master. Bila lebih dari dua player bertaruh dengan jumlah uang yang sama pada dealer atau player, maka player yang lebih dahulu memasang taruhan akan menjadi bid master. Ketika pemain lain memasang taruhan dalam jumlah yang lebih besar daripada bid master, maka bid master akan digantikan."
Payout,Pembukaan taruhan
Payout_1,"Ketika waktu taruhan berakhir, dealer akan memutar roda dan mengeluarkan bola putih secara berlawanan arah. Slot angka terakhir tempat bola putih berhenti akan menjadi hasil akhir."
Shuffle_decks_Dragon_Tiger,ｘ
How_to_play_2,"Player dapat bertaruh pada Dragon, Tiger, Seri. Ada dua huruf kartu di depan dealer, akan dibagikan 1 kartu pada masing-masing huruf, yaitu naga, lalu harimau. Bandingkan besar kecil dari kartu di kedua sisi, A paling kecil, dan K paling besar."
How_to_play_3,"Urutan kartu dari kecil ke besar: 1-2-3-4-5-6-7-8-9-10-11-12-13, tidak membandingkan lambang kartu, hanya membandingkan jumlah poin, bila jumlah poin sama maka dianggap seri."
Currency_BRL,BRL
Shuffle_decks_Baccarat_1,"Dealer mengklik kocok, mengeluarkan kartu dari deck, meletakkannya di kotak deck, mengunci dan meletakkannya disamping.
 . Dealer akan mendapatkan kartu baru, membuka kuncinya, memasukkan kartu ke dalam kotak deck dan memindahkan deck.
 . Dealer akan melakukan pembatalan awal dan kemudian melanjutkan permainan.
 . Dealer akan mengambil kartu dan membawanya ke area pengocokan.
 . Pengocok akan bergantian melakukan prosedur pengocokan A atau C."
Shuffle_decks_Baccarat_2,"Pengocokan meliputi:
 Riffle, Chemmy, Poker Strip
 . Setelah mengocok, simpan di rak yang ditentukan."
Interactive_Baccarat_1,Interactive Baccarat 
txt_hi_in,Bahasa Devanagari
txt_ta_in,Bahasa Tamil
Shuffle_decks_Baccarat_0,"Baccarat menggunakan 8 set kartu, masing-masing kartu remi terdiri dari 52 lembar kartu standar."
Shuffle_decks_Dragon_Tiger_0,"Game Dragon & Tiger menggunakan 8 set kartu, masing-masing kartu remi terdiri dari 52 lembar kartu standar."
txt_zh_cn_1,China
txt_en_us_1,Inggris
txt_zh_tw_1,Taiwan
txt_ms_my_1,Malaysia
txt_vi_vn_1,Vietnam
txt_ko_kr_1,Korea
txt_ja_jp_1,Japan
txt_in_id_1,Indonesia
txt_th_th_1,Thailand
txt_zh_hk_1,Hongkong
txt_km_kh_1,Kamboja
txt_pt_pt_1,Portugal
txt_es_es_1,Spanyol
Baccarat_Chat_control,x
Baccarat_Chat_control_1,x
Baccarat_Chat_control_2,x
Baccarat_Chat_control_3,x
Baccarat_Chat_control_4,x
Baccarat_Chat_control_5,x
Baccarat_Chat_control_6,x
Baccarat_Chat_control_7,x
Baccarat_Chat_control_8,x
Baccarat_Chat_control_9,x
Baccarat_Chat_control_10,x
Baccarat_Chat_control_11,x
Squeeze_lobby,Tekan Kartu
payout_animation_odds,：
Currency_GCO,GCO
RocketGirls,Presenter Baccarat
RocketGirls_rules,Peraturan Presenter Baccarat
bullbull_statement,X
anchor_Baccarat_1,Semua Presenter
anchor_Baccarat_2,Online
anchor_Baccarat_3,Offline
anchor_Baccarat_4,Favorit
anchor_Baccarat_5,Perasaan suka
anchor_Baccarat_6,Win Rate
anchor_Baccarat_7,Banker Win Rate
anchor_Baccarat_8,Player Win Rate
anchor_Baccarat_9,Interaksi
anchor_Baccarat_10,Statistik
anchor_Baccarat_11,Menang
anchor_Baccarat_12,Kalah
anchor_Baccarat_13,Total Ronde
g_channel_chat_1,Datanglah seorang long bankers
g_channel_chat_2,"Cantik, lambaikan tanganmu~!"
g_channel_chat_3,"Hai Cewe, cium aku ~!"
g_channel_chat_4,"Cantik, siapa namamu?"
g_channel_chat_5,"Gadis cantik ini benar-benar membawa keberuntungan, apapun yang saya harapkan pasti keluar~ haha!"
g_channel_chat_6,Gadis cantik ~kamu keren~ Aku suka~!
g_channel_chat_7,"Mudah untuk menang, kamu luar biasa, cantik!"
customized_Baccarat,Kustomisasi
Currency_TMT,TMT
BullBull_new7_1,Rate pembayaran dobel
BullBull_new8_1,Rate pembayaran setara
Play_record,Catatan permainan
Competition_ranking,Papan peringkat kompetisi
No_match,Saat ini tidak ada kompetisi
Baccarat_Competition_ranking,Papan Peringkat Kompetisi Baccarat
video_SHD,SHD
channel_Recharge,"Fungsi top up belum diaktifkan untuk channel ini , Silakan hubungi channel untuk top up"
Rocket_Girls_Description,"Rocket Girls sama seperti permainan bakarat lainnya, merupakan permainan judi meja dengan melihat angka besar kecil pada kartu untuk menentukan menang kalah. Keistimewaannya adalah dealer digantikan dengan Rocket Girls yang dipilih dengan seksama. Merekomendasikan Banker dan Player serta mencari jalan yang baik dari sekian banyak ronde dalam permainan bakarat, memandu player untuk melihat jelas permainan dan membuat player menemukan peluang kemenangan dari dalamnya."
Rocket_Girls_Description_1,Panduan Rocket Girls
Rocket_Girls_Description_2,"1.  Jenis taruhan yang dipandu Rocket Girls, hanya ada 2 area taruhan: banker dan player"
Rocket_Girls_Description_3,"2.  Rocket Girls mengarahkan pemain untuk memasang taruhan pada banker atau player. ( Rocket Girls tunggal tidak dapat secara bersamaan memsang taruhan pada banker dan player ). Misalnya, jika salah satu rocket girls memasang taruhan untuk banker, maka rocket girls lainnya hanya bisa memasang taruhan untuk player atau tidak memasang taruhan"
Rocket_Girls_Description_4,"3.  Ronde Kunjungan Rocket Girls tidak dapat memasang taruhan, tetapi dapat memungkinkan player di dalam ruang rocket girls untuk memasang taruhan"
Rocket_Girls_Description_5,"Harap dicatat bahwa taruhan yang dipasang rocket girls hanya untuk referensi, player dapat memutuskan sendiri apakah akan ikut atau memasang taruhan sebaliknya."
Rocket_Girls_Description_6,Aturan taruhan player
Rocket_Girls_Description_7,"1.  Waktu taruhan, waktu taruhan tetap   30 detik.  Setelah  30 detik, player tidak boleh memasang taruhan."
Rocket_Girls_Description_8,"2.  Area taruhan, memberikan   5   jenis kombinasi taruhan : Banker, player, tie, Banker Pair, Player Pair"
Rocket_Girls_Description_9,3.  Batas jumlah taruhan bervariasi tergantung pada ruangan yang dipilih oleh rocker girls.
Rocket_Girls_Description_10,Klik   Bet Limit untuk membaca detail dari rate pembayaran dan batas jumlah taruhan
Rocket_Girls_Description_11,"Penting  : Jika ada keraguan, dapat masuk ke detail aset untuk melihat rinciannya."
Rocket_Girls_Description_12,Hasil dan pembayaran
Rocket_Girls_Description_13,"Dalam periode pembayaran, bila Rocket Girls masih berada di dalam ruang taruhan dimana player telah memasang taruhan, maka dapat melihat gambaran pembayaran."
Rocket_Girls_Description_14,"Dalam periode pembayaran, bila Rocket Girls tidak ada di dalam ruang taruhan dimana player telah memasang taruhan, maka tidak dapat melihat gambaran pembayaran, isi pembayaran dapat dilihat pada detail aset."
Rocket_Girls_Description_15,"Player meninggalkan ruang Rocket Girls, pergi ke ruang Rocket Girls lain atau permainan lainnya, isi pembayaran dapat dilihat pada detail aset."
Rocket_Girls_Description_16,"Penting  : Pemain memasang taruhan di ruang rocket girls, sebenarnya adalah bertaruh di ruang bakarat sesuai dengan nomor kamar. Oleh karena itu, dalam detail aset, semua didasarkan pada pemutaran rekaman ruang taruhan yang sebenarnya, dan tidak ada pemutaran rekaman eksklusif di ruang rocket girls."
Rocket_Girls_Description_17,"Penampilan Marker road, Big road dan Three Down Road"
Rocket_Girls_Description_18,"Rocket Girls memasuki ruangan yang berbeda, dan catatan road akan berubah secara instan sesuai dengan ruangan berbeda yang dimasuki oleh rocket girls. Statistik histori Marker Road, Big Road dan Three Down Road yang ditampilkan pada ruang rocket girls didasarkan pada ruangan yang dimasuki rocket girls, bukan statistik road ekslusif dalam ruangan rocket girls."
Rocket_Girls_Description_19,"Rocket girls tidak memasuki ruangan apapun, catatan road tidak dapat ditampilkan."
Rocket_Girls_Description_20,Rocket Girls Lobby
